6.074389;3.914065;1.469279;1.000000
3.828801;7.818555;7.540200;-1.000000
5.686981;3.830153;6.728588;1.000000
6.887645;2.444077;3.519573;-1.000000
4.959998;7.695880;7.221736;1.000000
5.082297;7.050783;5.165921;-1.000000
5.127709;3.796744;3.814989;1.000000
1.393126;1.041797;7.074440;-1.000000
6.715567;7.096593;7.933391;1.000000
2.467889;2.815225;2.264043;-1.000000
2.130868;2.095364;1.182838;1.000000
0.477845;3.366422;5.715850;-1.000000
7.326642;1.920797;5.699600;1.000000
7.710305;1.338755;7.698057;-1.000000
3.087877;5.192069;7.708940;1.000000
7.747211;1.391907;3.606622;-1.000000
4.030031;1.697919;1.625971;1.000000
3.725308;2.190582;3.791801;-1.000000
8.155855;3.748292;0.669223;1.000000
4.507851;6.823039;7.600003;-1.000000
6.173284;2.779897;2.664225;1.000000
1.686152;5.456522;3.695578;-1.000000
3.526581;4.189189;3.358818;1.000000
6.691604;2.128812;4.727054;-1.000000
7.055184;3.378566;0.322828;1.000000
1.602016;1.189562;2.930261;-1.000000
7.988956;6.548970;5.389146;1.000000
0.445797;6.130912;1.900808;-1.000000
2.725772;7.976458;7.852610;1.000000
0.236993;4.813738;4.706921;-1.000000
7.840081;0.763607;5.755523;1.000000
4.576392;2.398272;5.534584;-1.000000
5.147049;2.210687;2.236473;1.000000
5.186774;2.861671;7.208936;-1.000000
6.567306;1.505457;3.950267;1.000000
2.654259;7.304330;7.022286;-1.000000
0.174123;5.111395;6.724921;1.000000
6.606048;4.939964;0.914287;-1.000000
6.657776;1.512770;8.183382;1.000000
1.274113;2.486786;1.791254;-1.000000
6.554331;4.260006;4.311521;1.000000
0.015884;3.036734;8.176475;-1.000000
0.476789;2.714076;0.825915;1.000000
5.021396;3.004085;3.029929;-1.000000
2.643684;0.889640;6.649225;1.000000
3.074793;5.962640;0.063238;-1.000000
7.798588;2.160345;0.040500;1.000000
5.901697;7.543434;2.730163;-1.000000
6.153886;1.423430;5.105129;1.000000
0.296531;7.351536;0.709152;-1.000000
5.604296;0.976066;7.658491;1.000000
2.281241;5.454753;6.649848;-1.000000
4.648124;1.987252;0.492388;1.000000
0.639006;7.402212;7.910203;-1.000000
1.923674;1.917138;6.748296;1.000000
4.399237;1.126813;8.123903;-1.000000
8.225690;2.494177;6.006991;1.000000
2.143207;8.210887;2.945968;-1.000000
1.489203;1.737126;7.890593;1.000000
2.874855;4.578037;2.523131;-1.000000
3.862249;0.228764;0.039021;1.000000
1.085388;0.843901;8.287291;-1.000000
6.758355;4.324848;3.009470;1.000000
0.530093;4.994467;3.231560;-1.000000
4.702819;6.390464;1.468088;1.000000
6.928578;5.284563;6.832994;-1.000000
4.955142;3.576591;0.894486;1.000000
6.742271;7.842407;4.492189;-1.000000
1.349309;0.264264;6.143405;1.000000
4.656080;5.341732;4.640734;-1.000000
4.366086;4.591921;0.985940;1.000000
3.111445;2.156357;5.035426;-1.000000
6.248640;1.475418;0.986737;1.000000
0.318100;6.118485;6.285379;-1.000000
7.885617;5.062007;3.666610;1.000000
2.416236;6.963073;0.094996;-1.000000
5.797320;2.657787;3.844247;1.000000
5.737643;1.809877;7.112088;-1.000000
2.018228;4.574837;7.101734;1.000000
2.630809;0.117466;5.862845;-1.000000
6.578941;0.139795;2.495138;1.000000
8.045311;0.072021;4.946181;-1.000000
1.148288;7.331766;4.512256;1.000000
3.429359;6.284357;7.307209;-1.000000
0.162600;8.160735;5.925124;1.000000
3.828310;2.297291;8.011223;-1.000000
6.213290;5.633219;3.086536;1.000000
0.720485;2.188571;6.952414;-1.000000
6.789800;2.927846;1.379672;1.000000
6.294598;0.919940;3.218679;-1.000000
2.103775;4.823105;5.747772;1.000000
1.527058;6.598047;6.476210;-1.000000
3.496265;5.595788;6.582247;1.000000
2.252476;7.022795;4.120748;-1.000000
6.109840;4.060952;5.511263;1.000000
3.364576;1.973927;0.799241;-1.000000
6.656518;1.822844;2.739742;1.000000
4.756301;2.935084;8.282936;-1.000000
1.311084;1.833569;3.650004;1.000000
0.455880;7.659407;3.590057;-1.000000
