0.014250;0.000000
0.042749;0.000000
0.071249;0.000000
0.099749;0.000000
0.128248;0.000000
0.156748;0.000000
0.185247;0.000000
0.213747;0.000000
0.242247;0.000000
0.270746;0.000000
0.299246;0.000000
0.327745;0.000000
0.356245;0.000000
0.384745;0.000000
0.413244;0.000000
0.441744;0.000000
0.470243;0.000000
0.498743;0.000000
0.527243;0.000000
0.555742;0.000000
0.584242;0.000000
0.612741;0.000000
0.641241;0.000000
0.669741;0.000000
0.698240;0.000000
0.726740;0.000000
0.755239;0.000000
0.783739;0.000000
0.812239;0.000000
0.840738;0.000000
0.869238;0.000000
0.897737;0.001319
0.926237;0.022827
0.954737;0.116444
0.983236;0.340214
1.011736;0.632730
1.040235;0.908657
1.068735;1.099708
1.097235;1.193314
1.125734;1.205950
1.154234;1.169951
1.182733;1.115690
1.211233;1.053128
1.239733;0.983005
1.268232;0.921042
1.296732;0.861445
1.325231;0.810695
1.353731;0.773562
1.382231;0.730585
1.410730;0.701148
1.439230;0.672481
1.467729;0.645840
1.496229;0.626645
1.524729;0.613446
1.553228;0.596180
1.581728;0.582231
1.610227;0.572368
1.638727;0.564323
1.667227;0.554108
1.695726;0.549202
1.724226;0.546231
1.752725;0.540693
1.781225;0.535588
1.809725;0.535228
1.838224;0.535085
1.866724;0.535772
1.895223;0.533540
1.923723;0.533377
1.952223;0.535709
1.980722;0.534777
2.009222;0.538821
2.037721;0.538496
2.066221;0.538380
2.094721;0.539710
2.123220;0.542640
2.151720;0.539843
2.180219;0.539798
2.208719;0.538847
2.237219;0.536905
2.265718;0.535367
2.294218;0.533490
2.322717;0.529486
2.351217;0.530054
2.379717;0.530333
2.408216;0.524648
2.436716;0.523337
2.465215;0.520671
2.493715;0.519195
2.522215;0.517667
2.550714;0.516341
2.579214;0.514916
2.607713;0.515023
2.636213;0.510407
2.664713;0.511902
2.693212;0.512863
2.721712;0.510218
2.750211;0.509863
2.778711;0.507932
2.807211;0.509373
2.835710;0.507136
2.864210;0.506270
2.892709;0.507325
2.921209;0.506430
2.949709;0.506748
2.978208;0.506756
3.006708;0.505206
3.035207;0.504209
3.063707;0.504862
3.092207;0.504239
3.120706;0.503913
3.149206;0.503206
3.177705;0.503745
3.206205;0.503607
3.234704;0.503204
3.263204;0.501634
3.291704;0.501949
3.320203;0.503098
3.348703;0.502106
3.377202;0.502772
3.405702;0.501990
3.434202;0.501495
3.462701;0.500369
3.491201;0.501097
3.519700;0.501685
3.548200;0.500203
3.576700;0.501083
3.605199;0.501880
3.633699;0.499623
3.662198;0.499956
3.690698;0.500122
3.719198;0.498863
3.747697;0.498871
3.776197;0.500247
3.804696;0.498551
3.833196;0.499632
3.861696;0.498577
3.890195;0.499452
3.918695;0.498629
3.947194;0.498170
3.975694;0.498414
4.004194;0.498098
4.032693;0.497162
4.061193;0.498384
4.089692;0.498825
4.118192;0.498313
4.146692;0.498191
4.175191;0.497205
4.203691;0.498127
4.232190;0.498669
4.260690;0.498286
4.289190;0.497802
4.317689;0.498384
4.346189;0.498178
4.374688;0.498079
4.403188;0.498614
4.431688;0.497581
4.460187;0.499153
4.488687;0.497667
4.517186;0.498615
4.545686;0.498642
4.574186;0.497607
4.602685;0.498606
4.631185;0.498497
4.659684;0.497759
4.688184;0.497772
4.716684;0.498000
4.745183;0.498185
4.773683;0.498902
4.802182;0.498437
4.830682;0.497089
4.859182;0.498669
4.887681;0.498890
4.916181;0.498433
4.944680;0.497272
4.973180;0.497587
5.001680;0.497617
5.030179;0.498401
5.058679;0.498239
5.087178;0.497922
5.115678;0.497528
5.144178;0.498135
5.172677;0.497829
5.201177;0.498611
5.229676;0.497463
5.258176;0.498118
5.286676;0.497254
5.315175;0.498015
5.343675;0.497790
5.372174;0.498034
5.400674;0.498812
5.429174;0.498405
5.457673;0.498610
5.486173;0.497474
5.514672;0.498946
5.543172;0.499210
5.571672;0.498043
5.600171;0.498723
5.628671;0.497230
5.657170;0.498100
5.685670;0.498683
5.714170;0.498478
5.742669;0.498318
5.771169;0.498357
5.799668;0.499452
5.828168;0.497826
5.856668;0.498852
5.885167;0.498357
5.913667;0.498080
5.942166;0.498674
5.970666;0.498577
5.999166;0.499166
6.027665;0.498376
6.056165;0.498719
6.084664;0.499058
6.113164;0.498796
6.141664;0.498455
6.170163;0.498526
6.198663;0.498387
6.227162;0.498678
6.255662;0.498345
6.284162;0.499426
6.312661;0.498338
6.341161;0.499342
6.369660;0.498769
6.398160;0.498721
6.426660;0.499214
6.455159;0.499004
6.483659;0.498596
6.512158;0.498972
6.540658;0.498483
6.569158;0.498814
6.597657;0.498730
6.626157;0.498554
6.654656;0.499027
6.683156;0.499313
6.711656;0.498648
6.740155;0.498556
6.768655;0.498320
6.797154;0.499132
6.825654;0.498255
6.854154;0.498740
6.882653;0.498640
6.911153;0.498799
6.939652;0.498661
6.968152;0.498461
6.996652;0.498448
7.025151;0.498205
7.053651;0.498613
7.082150;0.498565
7.110650;0.498979
7.139150;0.499021
7.167649;0.498397
7.196149;0.498720
7.224648;0.498744
7.253148;0.499005
7.281648;0.498841
7.310147;0.498493
7.338647;0.497942
7.367146;0.499242
7.395646;0.499030
7.424146;0.499069
7.452645;0.498725
7.481145;0.499473
7.509644;0.498612
7.538144;0.499252
7.566644;0.498885
7.595143;0.499136
7.623643;0.498646
7.652142;0.499124
7.680642;0.498130
7.709142;0.499752
7.737641;0.499205
7.766141;0.498360
7.794640;0.499013
7.823140;0.499114
7.851640;0.499410
7.880139;0.499243
7.908639;0.498694
7.937138;0.499004
7.965638;0.499223
7.994138;0.498761
8.022637;0.498807
8.051137;0.498242
8.079636;0.498463
8.108136;0.498588
8.136636;0.498019
8.165135;0.498877
8.193635;0.498155
8.222134;0.498197
8.250634;0.498246
8.279134;0.499046
8.307633;0.498634
8.336133;0.498162
8.364632;0.498422
8.393132;0.498897
8.421632;0.498652
8.450131;0.498616
8.478631;0.498464
8.507130;0.498078
8.535630;0.498843
8.564130;0.498476
8.592629;0.498009
8.621129;0.498703
8.649628;0.497862
8.678128;0.498441
8.706628;0.498401
8.735127;0.497714
8.763627;0.498538
8.792126;0.498176
8.820626;0.498432
8.849126;0.498107
8.877625;0.498488
8.906125;0.497774
8.934624;0.497688
8.963124;0.498501
8.991624;0.498143
9.020123;0.498200
9.048623;0.498371
9.077122;0.498281
9.105622;0.497524
9.134122;0.498484
9.162621;0.498249
9.191121;0.498480
9.219620;0.498607
9.248120;0.498003
9.276620;0.497977
9.305119;0.497844
9.333619;0.498212
9.362118;0.498038
9.390618;0.497619
9.419118;0.497753
9.447617;0.497702
9.476117;0.498236
9.504616;0.498153
9.533116;0.497916
9.561616;0.498219
9.590115;0.497993
9.618615;0.497855
9.647114;0.498134
9.675614;0.498318
9.704113;0.497915
9.732613;0.498150
9.761113;0.497936
9.789612;0.497692
9.818112;0.497724
9.846611;0.498034
9.875111;0.498538
9.903611;0.497846
9.932110;0.498235
9.960610;0.498201
9.989109;0.498038
10.017609;0.498560
10.046109;0.497989
10.074608;0.498144
10.103108;0.498234
10.131607;0.498426
10.160107;0.498313
10.188607;0.498667
10.217106;0.498515
10.245606;0.498236
10.274105;0.498594
10.302605;0.498382
10.331105;0.498291
10.359604;0.498997
10.388104;0.498643
10.416603;0.498708
10.445103;0.498757
10.473603;0.498200
10.502102;0.498119
10.530602;0.498801
10.559101;0.498316
10.587601;0.498589
10.616101;0.498340
10.644600;0.498319
10.673100;0.498327
10.701599;0.498063
10.730099;0.498810
10.758599;0.498761
10.787098;0.498205
10.815598;0.498814
10.844097;0.498449
10.872597;0.498531
10.901097;0.498702
10.929596;0.498176
10.958096;0.498547
10.986595;0.498556
11.015095;0.498883
11.043595;0.498405
11.072094;0.498104
11.100594;0.498893
11.129093;0.498617
